NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
A0134719,FIREWORKS,DISCHARGING FIREARM,70114,4,29.9200472,-90.02231971
I1224619,FIREWORKS,FIREWORKS,70114,4,29.9203857,-90.02225104
L1307319,FIREWORKS,DISCHARGING FIREARM,70114,4,29.92061806,-90.02245838
L4042319,FIREWORKS,FIREWORKS,70131,4,29.92069222,-90.00236544
G2823519,FIREWORKS,DISCHARGING FIREARM,70115,2,29.92080306,-90.10160549
G0538719,FIREWORKS,FIREWORKS,70118,2,29.92111309,-90.1237936
G0557519,FIREWORKS,DISCHARGING FIREARM,70115,6,29.92124071,-90.0807251
G0560219,FIREWORKS,FIREWORKS,70115,2,29.92156152,-90.10298728
A0122019,FIREWORKS,FIREWORKS,70130,6,29.92259274,-90.07603419
G0844619,FIREWORKS,DISCHARGING FIREARM,70131,4,29.92259426,-90.00182462
L4029419,FIREWORKS,FIREWORKS,70131,4,29.92333345,-89.99252103
G0511519,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.92352763,-90.0097566
G2824419,FIREWORKS,DISCHARGING FIREARM,70115,2,29.92461004,-90.10231649
L2890919,FIREWORKS,DISTURBANCE (OTHER),70115,2,29.92509455,-90.11053579
G0548819,FIREWORKS,FIREWORKS,70131,4,29.92715078,-89.999118
G2101419,FIREWORKS,FIREWORKS,70131,4,29.9275197,-90.01383575
G0544319,FIREWORKS,FIREWORKS,70114,4,29.92788576,-90.03148314
G0545819,FIREWORKS,FIREWORKS,70131,4,29.92811799,-90.00341635
G0534519,FIREWORKS,AGGRAVATED ASSAULT,70130,6,29.92816417,-90.07703352
G0420819,FIREWORKS,FIREWORKS,70130,6,29.92869372,-90.07261878
G0847419,FIREWORKS,FIREWORKS,70114,4,29.92880481,-90.01985895
A0133919,FIREWORKS,FIREWORKS,70131,4,29.92917644,-90.00351613
L2889819,FIREWORKS,AGGRAVATED ASSAULT,70115,2,29.92957896,-90.11036855
G0552619,FIREWORKS,DISCHARGING FIREARM,70130,6,29.92961192,-90.07313282
L4031319,FIREWORKS,FIREWORKS,70115,6,29.9298637,-90.09907185
G2085219,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93004856,-90.0957169
G0422419,FIREWORKS,FIREWORKS,70130,6,29.93008878,-90.07231843
H3833819,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93053829,-90.07302167
G1836419,FIREWORKS,DISCHARGING FIREARM,70115,6,29.93104073,-90.09286534
G1967919,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93146171,-90.07246403
L4010119,FIREWORKS,FIREWORKS,70114,4,29.93153508,-90.01244249
K3049219,FIREWORKS,DISCHARGING FIREARM,70114,4,29.93155724,-90.02159127
G0549719,FIREWORKS,FIREWORKS,70115,6,29.93178044,-90.09084683
A0134819,FIREWORKS,FIREWORKS,70115,6,29.9319741,-90.0970328
L4022519,FIREWORKS,DISTURBANCE (OTHER),70114,4,29.93202548,-90.03483495
L3901019,FIREWORKS,FIREWORKS,70130,6,29.93212087,-90.07428304
H3833619,FIREWORKS,DISCHARGING FIREARM,70130,6,29.93219005,-90.07216928
G0585219,FIREWORKS,FIREWORKS,70115,6,29.93253392,-90.08725088
