county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
41055,1605,0.954517134,0.005607477,0.002923977,0.082880435,0.194668821,48056,899,148300,0.066759388,0.18131257,0.35326087,0.002923977,0,0.176323988,1342,0.000715308,0.542679128,0.320197044,0.096880131,0.069541029,0.007476636,0.13054341,0.5114,0.045897079,0.127805486,0.580147767,0.036161335,Oregon,823.694,1.948539142,1.091424728,41055
41057,26076,0.924911796,0.003949992,0.009535044,0.078494822,0.210412705,47500,18892,240400,0.126918251,0.427482532,0.309171598,0.009535044,0,0.154509894,21131,0.001476287,0.503873293,0.207850041,0.057684341,0.078853393,0.0376975,0.150096773,0.443,0.021812566,0.072901905,0.241841444,0.097094875,Oregon,1102.581,23.64996313,17.13434206,41057
41059,76898,0.85484668,0.00932404,0.003590265,0.064457338,0.162206325,51887,30347,158200,0.072466474,0.114047517,0.362567879,0.003590265,0,0.100977919,57208,0.000571486,0.521600042,0.2036605,0.033877699,0.08625035,0.079000754,0.181061812,0.4391,0.016366408,0.076002922,0.140516895,0.073431034,Oregon,3215.508,23.91472825,9.437700046,41059
41061,26028,0.920585523,0.007299831,0.003832816,0.098177655,0.247560201,48617,11744,181800,0.075781664,0.107544278,0.35941227,0.003832816,0,0.131166436,20269,0.000143479,0.496042723,0.162525379,0.043797738,0.114644056,0.027047795,0.159294136,0.4622,0.023847377,0.076085271,0.182784482,0.087970323,Oregon,2036.606,12.78008608,5.766456546,41061
41063,6924,0.950606586,0.002310803,0,0.048341232,0.247373272,44953,4197,227700,0.077024793,0.245889921,0.343443918,0,0,0.171721548,5646,0,0.491334489,0.146468401,0.050929368,0.123305785,0.008954362,0.148365342,0.4563,0.02677686,0.061574549,0.13795478,0.074380165,Oregon,3146.189,2.200757806,1.333994874,41063
41065,25866,0.872148767,0.003170185,0.003773246,0.071790376,0.205118263,50973,11648,199700,0.084842707,0.118646978,0.376582895,0.003773246,0,0.129127039,20037,0,0.499420088,0.189553991,0.041177621,0.109974868,0.06263048,0.133553823,0.4173,0.019845741,0.081055608,0.316584158,0.094028945,Oregon,2381.518,10.86113983,4.890998094,41065
41067,581821,0.761390531,0.020009591,0.061323837,0.081766409,0.437183712,78010,226355,360400,0.08130281,0.043506881,0.388661798,0.049827521,0.011496315,0.07949524,444412,0.000523997,0.494176044,0.36535083,0.063528901,0.085921081,0.097280779,0.096317865,0.4268,0.004113614,0.066568339,0.422301237,0.085522668,Oregon,724.228,803.3671717,312.5466013,41067
41069,1426,0.93828892,0,0,0.116490166,0.140255009,33456,988,143500,0.151020408,0.33097166,0.266263238,0,0,0.270687237,1205,0,0.510518934,0.29587156,0.066513761,0.026530612,0.031556802,0.200426439,0.4361,0.087755102,0.064516129,0.342075893,0.067346939,Oregon,1714.749,0.831608591,0.576177621,41069
41071,103820,0.883134271,0.008601426,0.007438551,0.062850512,0.264580513,59484,38632,274900,0.089411565,0.063030648,0.304693759,0.007438551,0,0.107416683,80136,0.000240929,0.499845887,0.396307045,0.104618478,0.08168464,0.051415912,0.136639236,0.4472,0.009828479,0.062662542,0.589059985,0.095121848,Oregon,715.858,145.0287627,53.96601002,41071
42001,102023,0.925761838,0.014496731,0.003272025,0.041533872,0.22433476,64507,42068,201900,0.081338189,0.067676143,0.227633156,0.003211056,6.09694E-05,0.129813866,81177,0.00066936,0.492281152,0.390782962,0.10771541,0.085855872,0.025121786,0.087843706,0.3982,0.008637332,0.056981499,0.399725053,0.103329552,Pennsylvania,518.666,196.702695,81.1080734,42001
42003,1225561,0.801140865,0.128831613,0.094611686,0.072356681,0.407036689,58383,598424,147700,0.089594655,0.101038728,0.352739981,0.091288404,0.003323283,0.124146411,994227,0.000588677,0.482742189,0.412351853,0.072036161,0.11154433,0.030204943,0.121437069,0.4869,0.002254939,0.042583681,0.120003032,0.158279145,Pennsylvania,730.078,1678.67132,819.6713228,42003
