PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Albany city,Kentucky,2293,0.105695831,19858,66400,396
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Minnesota,2691,0.200897868,55391,147900,554
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Georgia,74631,0.202520465,34493,101100,721
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Texas,1840,0.237597911,41875,75700,567
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany city,Oregon,52736,0.274746787,55263,204700,928
Albany town,Indiana,2005,0.170681349,50000,67300,600
Albany village,Illinois,979,0.150417827,56397,112500,718
Albany village,Illinois,979,0.150417827,56397,112500,718
Albany village,Illinois,979,0.150417827,56397,112500,718
Albany village,Illinois,979,0.150417827,56397,112500,718
Albany village,Illinois,979,0.150417827,56397,112500,718
Albany village,Ohio,833,0.225700165,45000,111500,733
Albany village,Ohio,833,0.225700165,45000,111500,733
Albany village,Ohio,833,0.225700165,45000,111500,733
Albany village,Ohio,833,0.225700165,45000,111500,733
Albany village,Ohio,833,0.225700165,45000,111500,733
Albany village,Wisconsin,1207,0.1275,48466,123000,696
Albany village,Wisconsin,1207,0.1275,48466,123000,696
Albany village,Wisconsin,1207,0.1275,48466,123000,696
Albany village,Wisconsin,1207,0.1275,48466,123000,696
Albany village,Wisconsin,1207,0.1275,48466,123000,696
Albany village,Louisiana,1194,0.226932668,54250,146700,596
Albany village,Louisiana,1194,0.226932668,54250,146700,596
Albany village,Louisiana,1194,0.226932668,54250,146700,596
Albany village,Louisiana,1194,0.226932668,54250,146700,596
Albany village,Louisiana,1194,0.226932668,54250,146700,596
Albemarle city,North Carolina,15889,0.164547424,38988,116900,686
Albers village,Illinois,1184,0.369272237,73750,166000,726
Albert City city,Iowa,625,0.113636364,46210,53300,468
Albert Lea city,Minnesota,17687,0.164805575,44513,97700,670
Alberta town,Virginia,350,0.234615385,44583,106900,575
Alberton town,Montana,542,0.211340206,41406,158200,783
Albertson CDP,New York,5254,0.545478794,118942,582600,2969
Albertville city,Minnesota,7377,0.288709325,90078,234200,958
Albertville city,Minnesota,7377,0.288709325,90078,234200,958
Albertville city,Alabama,21460,0.164585359,40047,111100,649
Albertville city,Alabama,21460,0.164585359,40047,111100,649
Albia city,Iowa,3761,0.176165803,42250,81700,664
Albin town,Wyoming,144,0.107142857,27273,115600,685
Albion borough,Pennsylvania,1571,0.125,38393,94500,542
Albion city,Idaho,339,0.134078212,57500,150900,961
Albion city,Idaho,339,0.134078212,57500,150900,961
Albion city,Idaho,339,0.134078212,57500,150900,961
Albion city,Idaho,339,0.134078212,57500,150900,961
Albion city,Idaho,339,0.134078212,57500,150900,961
Albion city,Nebraska,1501,0.194156456,51818,120100,544
Albion city,Nebraska,1501,0.194156456,51818,120100,544
Albion city,Nebraska,1501,0.194156456,51818,120100,544
Albion city,Nebraska,1501,0.194156456,51818,120100,544
Albion city,Nebraska,1501,0.194156456,51818,120100,544
Albion city,Illinois,2034,0.161098738,39125,66300,490
Albion city,Illinois,2034,0.161098738,39125,66300,490
Albion city,Illinois,2034,0.161098738,39125,66300,490
Albion city,Illinois,2034,0.161098738,39125,66300,490
Albion city,Illinois,2034,0.161098738,39125,66300,490
Albion city,Michigan,8324,0.167792547,31134,57600,655
Albion city,Michigan,8324,0.167792547,31134,57600,655
Albion city,Michigan,8324,0.167792547,31134,57600,655
Albion city,Michigan,8324,0.167792547,31134,57600,655
Albion city,Michigan,8324,0.167792547,31134,57600,655
Albion city,Iowa,615,0.10738255,51875,82800,775
Albion city,Iowa,615,0.10738255,51875,82800,775
Albion city,Iowa,615,0.10738255,51875,82800,775
Albion city,Iowa,615,0.10738255,51875,82800,775
Albion city,Iowa,615,0.10738255,51875,82800,775
Albion town,Oklahoma,93,0.060606061,38250,45000,583
Albion town,Oklahoma,93,0.060606061,38250,45000,583
Albion town,Oklahoma,93,0.060606061,38250,45000,583
Albion town,Washington,716,0.43035343,57206,140300,763
Albion town,Washington,716,0.43035343,57206,140300,763
Albion town,Washington,716,0.43035343,57206,140300,763
Albion town,Indiana,2472,0.101600985,42500,89700,709
